loan_amnt,term,int_rate,installment,annual_inc,loan_status
15000.0, 36 months,13.35,507.95,52000.0,Fully Paid
10800.0, 36 months,13.98,369.02,51840.0,Fully Paid
35000.0, 60 months,16.99,869.66,130000.0,Fully Paid
28000.0, 60 months,19.91,312.04,52000.0,Charged Off
21000.0, 60 months,17.86,531.67,80000.0,Fully Paid
8400.0, 36 months,12.12,279.49,120000.0,Fully Paid
11950.0, 60 months,16.29,292.45,30000.0,Fully Paid
6700.0, 36 months,21.49,254.12,21000.0,Fully Paid
16000.0, 36 months,12.99,539.03,78000.0,Fully Paid
20000.0, 36 months,13.67,680.36,64000.0,Fully Paid
16000.0, 60 months,18.54,411.01,40000.0,Charged Off
15000.0, 36 months,7.89,469.29,90000.0,Fully Paid
12875.0, 36 months,17.1,459.67,58000.0,Fully Paid
15000.0, 60 months,18.25,382.95,75000.0,Fully Paid
8000.0, 36 months,11.67,264.46,55000.0,Fully Paid
14000.0, 36 months,6.24,427.44,100000.0,Fully Paid
12000.0, 60 months,8.18,244.36,60000.0,Charged Off
15000.0, 36 months,13.98,512.52,40000.0,Fully Paid
12000.0, 36 months,12.35,400.59,38000.0,Fully Paid
35000.0, 36 months,14.16,1198.94,118497.84,Fully Paid
10000.0, 36 months,17.56,359.33,32000.0,Fully Paid
15000.0, 60 months,18.55,385.41,50000.0,Fully Paid
9000.0, 36 months,12.35,300.44,59500.0,Fully Paid
25000.0, 60 months,22.15,692.61,80000.0,Fully Paid
5000.0, 36 months,10.39,118.45,66000.0,Fully Paid
20000.0, 36 months,7.9,625.81,76000.0,Fully Paid
10000.0, 60 months,15.99,243.13,60000.0,Fully Paid
10000.0, 36 months,16.07,351.94,61000.0,Fully Paid
15975.0, 60 months,24.99,468.8,47000.0,Fully Paid
12000.0, 60 months,14.99,285.42,128000.0,Fully Paid
9900.0, 36 months,9.67,317.92,40000.0,Fully Paid
3350.0, 36 months,15.61,117.14,52000.0,Charged Off
17000.0, 60 months,19.19,442.77,50000.0,Fully Paid
6425.0, 36 months,8.39,202.5,33000.0,Fully Paid
7200.0, 36 months,21.0,271.27,30000.0,Charged Off
7475.0, 36 months,12.69,250.75,33000.0,Fully Paid
10000.0, 36 months,13.98,341.68,55200.0,Fully Paid
13200.0, 36 months,10.74,430.53,45000.0,Fully Paid
19000.0, 36 months,6.68,583.89,80000.0,Fully Paid
11250.0, 60 months,19.22,293.2,135000.0,Fully Paid
17800.0, 60 months,11.49,391.38,95000.0,Charged Off
33000.0, 60 months,17.27,824.94,92000.0,Fully Paid
19000.0, 36 months,12.12,632.17,48000.0,Fully Paid
10000.0, 36 months,16.99,356.48,40000.0,Charged Off
8050.0, 36 months,16.55,285.21,29500.0,Charged Off
9000.0, 36 months,15.61,314.69,80000.0,Fully Paid
7200.0, 36 months,19.97,267.47,72000.0,Charged Off
5600.0, 36 months,7.89,175.2,63000.0,Fully Paid
10000.0, 36 months,18.25,362.78,39000.0,Fully Paid
30000.0, 60 months,24.7,875.28,187321.0,Fully Paid
9425.0, 36 months,13.49,319.8,45000.0,Fully Paid
23000.0, 36 months,8.39,724.89,80000.0,Fully Paid
18000.0, 36 months,10.99,589.22,90000.0,Fully Paid
30225.0, 60 months,18.24,771.47,65800.0,Charged Off
3000.0, 36 months,7.9,93.88,39000.0,Fully Paid
5000.0, 36 months,10.99,163.67,52000.0,Fully Paid
4000.0, 36 months,13.33,135.42,75000.0,Fully Paid
30000.0, 36 months,16.49,1061.99,101000.0,Fully Paid
12625.0, 60 months,25.78,376.36,43000.0,Fully Paid
13400.0, 60 months,25.83,399.86,56000.0,Charged Off
24250.0, 60 months,18.64,624.27,46200.0,Fully Paid
21000.0, 36 months,12.12,698.71,150000.0,Fully Paid
17000.0, 36 months,7.51,528.89,87000.0,Fully Paid
9100.0, 36 months,13.99,310.98,41000.0,Charged Off
26000.0, 36 months,15.22,904.11,59500.0,Fully Paid
30000.0, 36 months,15.31,1044.52,108000.0,Charged Off
15000.0, 36 months,6.62,460.56,83000.0,Fully Paid
8000.0, 36 months,12.35,267.06,27000.0,Fully Paid
8000.0, 36 months,12.99,269.52,25000.0,Fully Paid
11200.0, 60 months,15.31,268.28,106000.0,Fully Paid
12000.0, 36 months,7.69,374.33,45000.0,Fully Paid
6600.0, 36 months,19.53,243.71,48000.0,Fully Paid
5000.0, 36 months,10.16,161.72,54000.0,Fully Paid
5000.0, 36 months,7.62,155.81,55000.0,Fully Paid
14000.0, 36 months,9.75,450.1,47000.0,Fully Paid
26575.0, 36 months,16.55,941.54,70000.0,Fully Paid
8000.0, 36 months,12.99,269.52,110000.0,Fully Paid
6500.0, 36 months,7.9,203.39,43000.0,Fully Paid
19725.0, 60 months,13.68,455.71,73410.0,Fully Paid
18525.0, 36 months,15.88,650.19,42000.0,Fully Paid
5400.0, 36 months,17.1,192.8,153000.0,Fully Paid
33600.0, 60 months,16.29,822.28,145000.0,Fully Paid
28000.0, 60 months,17.86,708.89,120000.0,Fully Paid
35000.0, 36 months,14.65,1207.3,95000.0,Fully Paid
8400.0, 36 months,6.92,259.07,105000.0,Fully Paid
30000.0, 60 months,23.83,860.09,72500.0,Charged Off
28000.0, 60 months,13.67,646.74,104000.0,Charged Off
12525.0, 36 months,24.99,497.93,70000.0,Fully Paid
9000.0, 36 months,10.75,293.59,25000.0,Fully Paid
19600.0, 36 months,11.14,642.98,44000.0,Fully Paid
17625.0, 36 months,18.49,641.53,85000.0,Charged Off
15000.0, 36 months,11.99,498.15,72000.0,Fully Paid
11875.0, 36 months,20.31,443.2,56000.0,Fully Paid
30000.0, 60 months,17.86,759.52,74000.0,Charged Off
10000.0, 36 months,17.57,359.38,80000.0,Fully Paid
13075.0, 60 months,27.31,401.68,54777.0,Fully Paid
35000.0, 60 months,19.99,927.1,88500.0,Fully Paid
6500.0, 36 months,9.75,208.98,40000.0,Fully Paid
12000.0, 36 months,6.49,367.74,55000.0,Fully Paid
21000.0, 60 months,22.99,591.88,45000.0,Fully Paid
25000.0, 60 months,12.59,563.6,85000.0,Fully Paid
20000.0, 36 months,10.37,648.83,170000.0,Fully Paid
5000.0, 36 months,9.17,159.4,85000.0,Fully Paid
12000.0, 36 months,14.33,412.06,45000.0,Fully Paid
10000.0, 36 months,13.53,339.5,150000.0,Fully Paid
15000.0, 36 months,7.9,469.36,82000.0,Fully Paid
20000.0, 60 months,22.45,557.51,90000.0,Charged Off
16800.0, 60 months,24.99,493.01,51000.0,Charged Off
5500.0, 36 months,13.11,185.61,38000.0,Fully Paid
13625.0, 36 months,14.64,469.92,36000.0,Fully Paid
8325.0, 36 months,16.99,296.77,54290.0,Fully Paid
6375.0, 36 months,24.5,251.79,20000.0,Charged Off
10000.0, 36 months,17.99,361.48,21000.0,Fully Paid
13225.0, 36 months,12.35,441.48,65300.0,Fully Paid
12000.0, 36 months,10.16,388.11,63000.0,Fully Paid
35000.0, 36 months,9.16,1115.6,110000.0,Fully Paid
12000.0, 36 months,6.03,365.23,98794.08,Fully Paid
5000.0, 36 months,9.16,159.38,20000.0,Fully Paid
11350.0, 36 months,16.55,402.13,56300.0,Fully Paid
9000.0, 36 months,13.67,306.16,92000.0,Charged Off
25000.0, 60 months,14.99,594.62,65187.37,Fully Paid
21000.0, 36 months,14.65,724.38,60000.0,Fully Paid
13000.0, 36 months,12.49,434.84,52000.0,Fully Paid
9600.0, 36 months,15.61,335.67,70000.0,Charged Off
2800.0, 36 months,10.16,90.56,29000.0,Fully Paid
2200.0, 36 months,16.29,77.67,65500.0,Fully Paid
19200.0, 36 months,15.31,668.5,88000.0,Fully Paid
9000.0, 36 months,11.55,297.0,110000.0,Fully Paid
8000.0, 36 months,6.62,245.63,80000.0,Fully Paid
5000.0, 36 months,17.76,180.17,42000.0,Fully Paid
11800.0, 60 months,28.99,374.49,44011.0,Fully Paid
7000.0, 36 months,6.24,213.72,96720.0,Fully Paid
35000.0, 60 months,23.1,988.68,125388.0,Fully Paid
10800.0, 36 months,17.57,388.13,45000.0,Charged Off
11950.0, 36 months,13.99,408.37,40000.0,Charged Off
16000.0, 36 months,15.61,559.44,72000.0,Charged Off
18000.0, 36 months,11.14,590.5,85000.0,Charged Off
6000.0, 36 months,10.49,194.99,50000.0,Fully Paid
33425.0, 36 months,17.57,1201.2,76000.0,Fully Paid
25600.0, 36 months,7.69,798.56,105000.0,Fully Paid
3550.0, 36 months,24.99,141.13,120000.0,Charged Off
20000.0, 60 months,20.49,535.35,68000.0,Fully Paid
18000.0, 60 months,7.89,364.03,85000.0,Fully Paid
12800.0, 60 months,22.7,358.64,65000.0,Charged Off
16000.0, 60 months,13.33,366.76,100000.0,Fully Paid
5600.0, 36 months,17.56,201.22,103000.0,Fully Paid
15000.0, 36 months,11.99,498.15,62000.0,Fully Paid
16000.0, 60 months,16.99,397.56,78200.0,Fully Paid
9000.0, 36 months,6.03,273.92,145000.0,Fully Paid
15500.0, 36 months,10.15,501.24,107000.0,Fully Paid
6000.0, 36 months,10.99,196.41,63000.0,Fully Paid
9000.0, 36 months,6.89,277.45,65000.0,Fully Paid
24000.0, 36 months,14.65,827.87,100000.0,Fully Paid
35000.0, 60 months,17.57,880.61,150000.0,Charged Off
30000.0, 60 months,19.52,786.83,101000.0,Fully Paid
3000.0, 36 months,8.9,95.26,50000.0,Fully Paid
15000.0, 36 months,20.31,559.83,100000.0,Fully Paid
24000.0, 60 months,24.5,697.42,224000.0,Charged Off
6000.0, 36 months,14.3,205.95,40000.0,Fully Paid
28000.0, 60 months,21.98,773.02,73000.0,Charged Off
10000.0, 36 months,7.89,312.86,145000.0,Fully Paid
9450.0, 36 months,7.62,294.48,45000.0,Fully Paid
12000.0, 36 months,6.03,365.23,45000.0,Fully Paid
13000.0, 60 months,19.52,340.96,80000.0,Charged Off
20000.0, 36 months,16.29,706.01,150000.0,Fully Paid
6500.0, 36 months,9.67,208.74,41000.0,Charged Off
34350.0, 60 months,28.99,1090.13,84000.0,Fully Paid
3500.0, 36 months,8.18,109.97,85000.0,Fully Paid
3500.0, 36 months,14.65,120.73,28000.0,Charged Off
5400.0, 36 months,11.99,179.34,65000.0,Fully Paid
14000.0, 36 months,9.67,449.58,98593.24,Fully Paid
12250.0, 36 months,10.99,401.0,40000.0,Fully Paid
28625.0, 36 months,11.99,950.63,60000.0,Fully Paid
13600.0, 36 months,12.99,458.18,64000.0,Fully Paid
14675.0, 36 months,15.61,513.11,130000.0,Fully Paid
15000.0, 36 months,9.49,480.43,52000.0,Fully Paid
13300.0, 36 months,10.49,432.22,58000.0,Charged Off
23050.0, 60 months,16.29,564.09,97000.0,Fully Paid
11325.0, 60 months,25.99,339.01,38000.0,Charged Off
20000.0, 36 months,19.52,738.39,60000.0,Fully Paid
5800.0, 36 months,16.29,204.75,18200.0,Fully Paid
25900.0, 60 months,16.29,633.84,67000.0,Fully Paid
8000.0, 36 months,12.69,268.36,98000.0,Fully Paid
25000.0, 60 months,12.49,562.33,170000.0,Fully Paid
7500.0, 36 months,24.08,294.57,90000.0,Charged Off
11000.0, 36 months,11.44,362.43,87000.0,Fully Paid
18000.0, 36 months,12.12,598.89,74000.0,Fully Paid
21000.0, 36 months,9.67,674.37,85000.0,Fully Paid
4550.0, 36 months,8.39,143.41,84000.0,Fully Paid
18000.0, 36 months,11.14,590.5,42000.0,Fully Paid
35000.0, 36 months,12.99,1179.12,350000.0,Fully Paid
15000.0, 36 months,12.99,505.34,65000.0,Fully Paid
10000.0, 36 months,13.05,337.19,50000.0,Fully Paid
10000.0, 36 months,13.98,341.68,100000.0,Fully Paid
15000.0, 36 months,18.25,544.17,75000.0,Charged Off
2000.0, 36 months,14.98,69.32,50000.0,Fully Paid
3600.0, 36 months,19.52,132.92,110000.0,Fully Paid
20000.0, 36 months,11.99,664.2,98000.0,Fully Paid
15000.0, 36 months,13.98,512.52,120000.0,Fully Paid
8000.0, 36 months,13.98,273.35,85000.0,Fully Paid
24000.0, 36 months,17.57,862.49,85000.0,Charged Off
12400.0, 36 months,16.59,439.57,112000.0,Fully Paid
15000.0, 36 months,11.26,492.95,140000.0,Fully Paid
8500.0, 36 months,10.15,274.88,70000.0,Fully Paid
25000.0, 36 months,11.99,830.24,100000.0,Fully Paid
20000.0, 60 months,25.89,597.51,52000.0,Fully Paid
22950.0, 60 months,17.57,577.43,50000.0,Fully Paid
15000.0, 36 months,11.14,492.08,53000.0,Fully Paid
9000.0, 36 months,14.48,309.71,25000.0,Charged Off
15100.0, 36 months,21.99,576.6,42000.0,Charged Off
30000.0, 36 months,12.12,998.15,95000.0,Fully Paid
11500.0, 60 months,23.99,330.77,36000.0,Charged Off
1200.0, 36 months,5.99,36.51,21600.0,Fully Paid
16000.0, 60 months,17.57,402.57,56000.0,Charged Off
4000.0, 36 months,15.61,139.86,39500.0,Charged Off
7475.0, 36 months,16.29,263.88,100000.0,Fully Paid
9600.0, 36 months,11.49,316.53,45000.0,Fully Paid
3500.0, 36 months,14.16,119.9,39648.0,Fully Paid
8975.0, 36 months,14.65,309.59,36500.0,Fully Paid
19800.0, 36 months,14.47,681.25,47364.0,Fully Paid
2500.0, 36 months,10.74,81.54,55000.0,Fully Paid
2000.0, 36 months,11.53,65.99,102000.0,Fully Paid
7800.0, 36 months,11.55,257.4,40000.0,Charged Off
2400.0, 36 months,8.67,75.96,61500.0,Fully Paid
15000.0, 36 months,13.11,506.21,66900.0,Fully Paid
8000.0, 36 months,12.49,267.6,50000.0,Fully Paid
12500.0, 36 months,12.12,415.9,45000.0,Charged Off
8000.0, 36 months,11.67,264.46,48000.0,Fully Paid
18000.0, 36 months,7.89,563.15,87000.0,Charged Off
8000.0, 36 months,13.99,273.39,100000.0,Fully Paid
9500.0, 36 months,7.62,296.04,37000.0,Fully Paid
12000.0, 36 months,13.11,404.97,142000.0,Fully Paid
10000.0, 36 months,11.14,328.06,58000.0,Fully Paid
12000.0, 60 months,13.49,276.06,61000.0,Fully Paid
24000.0, 36 months,8.59,758.63,98000.0,Fully Paid
5825.0, 36 months,10.64,189.72,35000.0,Fully Paid
2850.0, 36 months,15.31,99.23,57000.0,Fully Paid
28000.0, 36 months,8.18,879.75,250000.0,Fully Paid
25000.0, 60 months,16.99,621.18,87000.0,Fully Paid
12800.0, 36 months,9.16,408.0,72000.0,Fully Paid
8000.0, 36 months,15.31,278.54,22050.0,Fully Paid
11200.0, 60 months,13.33,256.74,65000.0,Fully Paid
1000.0, 36 months,13.67,34.02,50000.0,Fully Paid
24000.0, 60 months,23.28,680.44,55007.0,Fully Paid
3900.0, 36 months,14.64,134.51,70000.0,Fully Paid
15000.0, 36 months,7.69,467.91,90000.0,Charged Off
3800.0, 36 months,18.25,137.86,54000.0,Fully Paid
20000.0, 60 months,15.61,482.23,60000.0,Fully Paid
21000.0, 36 months,6.03,639.15,495000.0,Fully Paid
3600.0, 36 months,8.67,113.93,80000.0,Fully Paid
18000.0, 60 months,14.98,428.03,83000.0,Fully Paid
3250.0, 60 months,11.99,72.28,48000.0,Charged Off
15000.0, 36 months,14.33,515.08,39000.0,Fully Paid
5000.0, 36 months,14.99,173.31,59000.0,Fully Paid
20000.0, 60 months,18.49,513.22,130000.0,Fully Paid
6000.0, 36 months,17.57,215.63,80000.0,Fully Paid
24725.0, 60 months,25.44,732.11,85000.0,Fully Paid
12000.0, 60 months,13.99,279.16,36000.0,Charged Off
12000.0, 36 months,9.71,385.58,96000.0,Fully Paid
30000.0, 36 months,16.2,1057.68,75000.0,Fully Paid
4000.0, 36 months,16.49,141.6,41000.0,Fully Paid
15000.0, 36 months,15.61,524.48,71500.0,Fully Paid
24000.0, 60 months,19.24,625.75,120000.0,Fully Paid
23400.0, 36 months,24.11,919.41,65000.0,Charged Off
27200.0, 60 months,23.99,782.34,72000.0,Charged Off
10000.0, 36 months,10.49,324.98,95000.0,Fully Paid
24000.0, 60 months,13.98,558.19,85000.0,Fully Paid
15000.0, 36 months,11.99,498.15,74600.0,Fully Paid
31300.0, 36 months,13.11,1056.28,70000.0,Fully Paid
14400.0, 60 months,15.31,344.93,47500.0,Fully Paid
12000.0, 36 months,15.8,420.71,90480.0,Fully Paid
11000.0, 36 months,13.98,375.85,65000.0,Fully Paid
10000.0, 36 months,14.99,346.61,95000.0,Fully Paid
20000.0, 36 months,13.33,677.07,85000.0,Fully Paid
16000.0, 36 months,15.96,562.2,73000.0,Fully Paid
7625.0, 36 months,14.49,262.43,75000.0,Fully Paid
8000.0, 36 months,7.69,249.55,45000.0,Fully Paid
28500.0, 36 months,11.99,946.48,240000.0,Fully Paid
18000.0, 36 months,13.11,607.45,88000.0,Fully Paid
26375.0, 36 months,17.86,951.67,60000.0,Charged Off
20000.0, 36 months,10.49,649.96,164732.0,Fully Paid
9000.0, 36 months,12.69,301.91,85000.0,Fully Paid
15000.0, 36 months,9.67,481.69,58164.0,Fully Paid
12500.0, 36 months,11.14,410.07,55000.0,Fully Paid
8875.0, 36 months,18.24,321.93,50000.0,Fully Paid
10000.0, 36 months,5.32,301.15,65000.0,Fully Paid
4000.0, 36 months,21.49,151.71,60000.0,Fully Paid
10000.0, 36 months,7.62,311.62,85838.0,Fully Paid
20000.0, 60 months,9.99,424.85,94000.0,Fully Paid
34800.0, 36 months,18.99,1275.46,78000.0,Fully Paid
5000.0, 36 months,12.12,166.36,24000.0,Fully Paid
15000.0, 36 months,13.05,505.78,64500.0,Fully Paid
25000.0, 60 months,14.64,590.04,210000.0,Fully Paid
5075.0, 36 months,17.27,181.63,53000.0,Fully Paid
7500.0, 36 months,14.99,259.96,20000.0,Fully Paid
35000.0, 60 months,23.28,992.31,78000.0,Fully Paid
4950.0, 36 months,14.65,170.75,60000.0,Fully Paid
12000.0, 36 months,13.33,406.24,65000.0,Charged Off
12000.0, 36 months,5.79,232.01,55000.0,Fully Paid
17600.0, 36 months,13.11,593.95,50000.0,Fully Paid
10000.0, 36 months,6.62,307.04,43900.0,Fully Paid
13475.0, 60 months,19.29,351.71,121392.0,Fully Paid
18000.0, 36 months,12.69,603.81,51500.0,Fully Paid
16475.0, 60 months,19.99,436.4,55000.0,Fully Paid
10150.0, 36 months,19.22,373.19,48360.0,Fully Paid
15250.0, 36 months,16.29,538.34,44000.0,Fully Paid
20000.0, 60 months,25.89,597.51,90000.0,Charged Off
6900.0, 36 months,16.99,245.97,39000.0,Fully Paid
20400.0, 60 months,18.24,520.7,51000.0,Charged Off
2400.0, 36 months,8.18,75.41,49464.0,Fully Paid
4200.0, 36 months,14.54,144.66,41000.0,Fully Paid
3000.0, 36 months,9.49,96.09,65839.0,Fully Paid
25000.0, 36 months,12.12,831.8,90000.0,Fully Paid
6625.0, 36 months,14.09,226.72,42000.0,Fully Paid
28000.0, 36 months,8.19,879.88,100000.0,Fully Paid
6625.0, 36 months,15.8,232.27,25000.0,Charged Off
35000.0, 60 months,22.99,986.47,250000.0,Fully Paid
4000.0, 36 months,11.53,131.97,60000.0,Fully Paid
8275.0, 36 months,9.25,264.11,25000.0,Fully Paid
17000.0, 60 months,8.39,347.89,76000.0,Fully Paid
35000.0, 36 months,12.29,1167.36,130000.0,Charged Off
18000.0, 36 months,6.03,547.84,42000.0,Charged Off
15000.0, 36 months,16.29,529.51,72000.0,Fully Paid
13000.0, 36 months,11.67,429.74,58000.0,Charged Off
21150.0, 36 months,13.11,713.75,52000.0,Fully Paid
17325.0, 60 months,14.33,406.1,40000.0,Fully Paid
25000.0, 60 months,11.44,549.07,99000.0,Fully Paid
10000.0, 36 months,8.19,314.25,65000.0,Fully Paid
23050.0, 36 months,6.03,701.54,150000.0,Fully Paid
12000.0, 36 months,13.11,404.97,39000.0,Fully Paid
15350.0, 36 months,19.05,563.06,72000.0,Fully Paid
9950.0, 36 months,17.77,358.57,30000.0,Fully Paid
10000.0, 36 months,14.09,342.22,65000.0,Charged Off
10000.0, 36 months,13.11,337.47,45000.0,Fully Paid
24000.0, 60 months,13.33,550.14,70500.0,Fully Paid
11000.0, 36 months,12.99,370.59,90000.0,Fully Paid
15000.0, 36 months,15.99,527.29,204018.0,Fully Paid
8000.0, 36 months,18.92,292.93,85000.0,Fully Paid
23225.0, 60 months,20.75,625.06,52800.0,Fully Paid
17000.0, 36 months,10.99,556.48,97000.0,Fully Paid
24000.0, 36 months,13.98,820.04,80000.0,Fully Paid
10000.0, 36 months,10.65,325.74,49920.0,Fully Paid
10000.0, 36 months,12.49,334.49,65000.0,Fully Paid
15000.0, 36 months,18.85,548.71,260000.0,Fully Paid
16000.0, 36 months,12.99,539.03,65000.0,Fully Paid
10200.0, 36 months,10.59,331.96,38000.0,Fully Paid
24000.0, 36 months,6.62,736.89,107000.0,Fully Paid
13475.0, 36 months,22.99,521.55,60000.0,Fully Paid
25000.0, 36 months,12.85,840.55,122800.0,Fully Paid
6600.0, 36 months,9.17,210.41,24000.0,Charged Off
19200.0, 60 months,19.99,508.58,60000.0,Fully Paid
10000.0, 60 months,24.08,288.15,44000.0,Charged Off
17400.0, 36 months,11.39,572.88,81000.0,Fully Paid
9550.0, 36 months,13.65,324.78,45000.0,Fully Paid
19200.0, 60 months,17.27,479.97,67000.0,Fully Paid
3650.0, 36 months,16.99,130.12,36638.0,Fully Paid
11750.0, 36 months,17.57,422.27,49000.0,Charged Off
10000.0, 60 months,13.06,227.84,80000.0,Fully Paid
5375.0, 36 months,15.61,187.94,27000.0,Fully Paid
20000.0, 36 months,6.03,608.72,115000.0,Fully Paid
20000.0, 36 months,9.17,637.58,52800.0,Fully Paid
15000.0, 60 months,14.49,352.85,45000.0,Charged Off
10000.0, 36 months,9.67,321.13,100000.0,Fully Paid
16500.0, 36 months,8.39,520.03,100000.0,Fully Paid
7075.0, 36 months,15.61,247.38,36000.0,Fully Paid
28000.0, 36 months,5.32,843.22,162000.0,Fully Paid
9000.0, 36 months,8.39,283.65,56000.0,Fully Paid
15000.0, 36 months,12.99,505.34,78000.0,Fully Paid
28200.0, 60 months,21.49,770.7,64000.0,Fully Paid
7200.0, 36 months,16.2,253.85,32000.0,Fully Paid
8000.0, 36 months,6.03,243.49,51000.0,Fully Paid
12000.0, 36 months,14.09,410.66,50000.0,Charged Off
15000.0, 36 months,10.74,489.24,48000.0,Fully Paid
2200.0, 36 months,15.31,76.6,57000.0,Fully Paid
30000.0, 36 months,18.75,1095.9,95000.0,Fully Paid
2400.0, 36 months,7.12,74.24,24000.0,Fully Paid
17000.0, 36 months,10.16,549.83,83000.0,Fully Paid
15800.0, 36 months,12.99,532.29,104000.0,Fully Paid
15000.0, 36 months,16.78,533.15,40000.0,Fully Paid
20000.0, 60 months,20.99,349.6,62500.0,Fully Paid
8000.0, 36 months,14.09,273.78,45000.0,Fully Paid
4000.0, 36 months,18.25,145.12,41499.0,Fully Paid
6850.0, 36 months,12.49,229.13,46574.0,Fully Paid
15000.0, 36 months,18.49,545.99,98000.0,Fully Paid
12500.0, 36 months,13.61,424.86,40500.0,Fully Paid
13500.0, 60 months,17.57,339.67,89000.0,Charged Off
12000.0, 36 months,11.99,398.52,72000.0,Fully Paid
7700.0, 36 months,10.15,249.0,47000.0,Charged Off
10500.0, 60 months,14.99,249.74,84000.0,Charged Off
10000.0, 36 months,12.73,335.67,195000.0,Fully Paid
1000.0, 36 months,10.99,32.74,60000.0,Fully Paid
15000.0, 36 months,14.33,515.08,45000.0,Fully Paid
16000.0, 36 months,8.19,502.79,40000.0,Fully Paid
19075.0, 36 months,13.11,643.73,60000.0,Fully Paid
10000.0, 36 months,8.19,314.25,120000.0,Charged Off
35000.0, 60 months,22.99,986.47,92000.0,Fully Paid
5000.0, 36 months,14.49,172.09,59000.0,Fully Paid
11500.0, 36 months,13.67,391.21,35000.0,Charged Off
12000.0, 36 months,6.49,367.74,35000.0,Fully Paid
20950.0, 60 months,18.99,543.34,50000.0,Fully Paid
9725.0, 36 months,14.46,334.56,90000.0,Charged Off
10000.0, 60 months,13.99,232.64,65000.0,Fully Paid
9600.0, 36 months,6.49,294.19,42000.0,Fully Paid
11500.0, 36 months,13.11,388.1,35000.0,Fully Paid
12000.0, 60 months,15.96,291.57,64320.0,Fully Paid
1200.0, 36 months,13.33,40.63,53000.0,Fully Paid
23625.0, 60 months,12.59,532.6,65000.0,Fully Paid
9700.0, 36 months,9.99,312.95,33384.0,Fully Paid
12000.0, 60 months,14.16,280.22,43000.0,Charged Off
19750.0, 60 months,17.27,493.72,44000.0,Fully Paid
15000.0, 36 months,6.62,460.56,73000.0,Fully Paid
7200.0, 36 months,14.65,248.36,82000.0,Fully Paid
33000.0, 36 months,12.99,1111.75,105000.0,Charged Off
13600.0, 36 months,16.24,479.75,32500.0,Fully Paid
4000.0, 36 months,14.65,137.98,125000.0,Fully Paid
13000.0, 36 months,12.49,434.84,70000.0,Charged Off
12000.0, 60 months,22.45,334.51,46500.0,Fully Paid
15000.0, 60 months,25.49,444.59,42000.0,Fully Paid
6000.0, 36 months,7.89,187.72,62000.0,Fully Paid
10750.0, 36 months,13.98,367.31,33000.0,Fully Paid
1000.0, 36 months,7.39,31.06,55000.0,Fully Paid
26875.0, 36 months,10.78,877.06,56000.0,Fully Paid
4500.0, 36 months,10.99,147.31,34000.0,Fully Paid
12000.0, 36 months,16.2,423.08,39000.0,Fully Paid
18500.0, 60 months,10.64,398.93,85000.0,Fully Paid
34200.0, 60 months,9.17,712.77,94500.0,Charged Off
28000.0, 36 months,8.9,889.09,109152.0,Fully Paid
10000.0, 36 months,10.16,323.43,60000.0,Fully Paid
